RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
0,02/04/2020 14:59,week 1,2,0,0,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Rarely,Not at all,Sometimes,Always,12,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.042042428,Male,39,South-East,3,1,Full time employment, , , , , 
1,02/04/2020 14:54,week 1,6,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Sometimes,Always,Always,Frequently,Not at all,Always, , ,Always,Always,Always,Frequently,Sometimes,Rarely,Not at all,Not at all,Frequently,Sometimes,3, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.022136032,Male,72,North-East,2,0,Retired, , , , , 
2,02/04/2020 14:47,week 1,3,60,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Rarely,Always,Not at all,Always,Rarely,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,34,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,0.908530714,Female,49,South-West,5,1,Full time employment, , , , , 
3,02/04/2020 14:50,week 1,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Always,Always,Rarely,Not at all,Not at all,Rarely,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Always,Not at all,Always,Always,6, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.026982624,Male,71,South-East,2,2,Retired, , , , , 
4,02/04/2020 14:54,week 1,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Sometimes,Rarely,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Rarely,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.055007623,Male,65,Paris Area,5,5 or more,Retired, , , , , 
5,02/04/2020 14:53,week 1,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Not at all,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Not at all,Not at all,Frequently,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,0.879957772,Female,34,South-East,3,1,Full time employment, , , , , 
6,02/04/2020 14:58,week 1,0,1,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Rarely,Always,Not at all,Rarely,Not at all,Always,Always,Rarely, , ,Frequently,Always,Always,Always,Always,Rarely,Not at all,Not at all,Sometimes,Frequently,3, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.029127793,Female,35,Paris Area,1,0,Full time student, , , , , 
7,02/04/2020 14:52,week 1,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.910582014,Female,60,South-West,2,0,Retired, , , , , 
8,02/04/2020 14:49,week 1,4,0,0,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,2,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,1.326120167,Female,20,North-West,5,2,Full time employment, , , , , 
9,02/04/2020 14:54,week 1,1,6,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,6, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.916316662,Female,67,North-West,2,0,Retired, , , , , 
10,02/04/2020 14:54,week 1,1,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Always,Not at all,Frequently,Frequently,12,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,0.847219011,Female,60,North-East,2,2,Full time employment, , , , , 
11,02/04/2020 14:59,week 1,3,5,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Rarely,Frequently,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Rarely,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.078598313,Male,42,South-East,4,2,Full time employment, , , , , 
12,02/04/2020 14:55,week 1,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Neither willing nor unwilling,Frequently,Frequently,Frequently,Sometimes,Always,Sometimes,Always,Always,Always, ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Not at all,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,0.979610414,Male,64,Paris Area,Prefer not to say,0,Part time employment, , , , , 
13,02/04/2020 14:59,week 1,0,0,2,"No, I have not","No, they have not",Yes,No,No,No,No,No,Not sure,Not at all,Yes,Yes,Yes,Very easy,Very willing,Not at all,Frequently,Not at all,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Always,Rarely,Always,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,siderurgie, , , , , , , , , , , , , , , ,1.073508133,Male,41,North-East,1,0,Full time employment, , , , , 
14,02/04/2020 15:03,week 1,2,6,1,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,Frequently,Yes,No,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,0.949088025,Male,62,North-East,2,0,Part time employment, , , , , 
15,02/04/2020 15:02,week 1,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Rarely,Always,Frequently,Frequently,Always,Always,Not at all,Always, , ,Always,Frequently,Always,Always,Always,Frequently,Not at all,Always,Frequently,Always,20, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.916752904,Female,66,South-East,1,0,Retired, , , , , 
16,02/04/2020 15:03,week 1,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Rarely,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,0.929753646,Female,40,North-West,4,2,Full time employment, , , , , 
17,02/04/2020 15:03,week 1,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Sometimes,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.912426514,Female,66,North-East,2,0,Retired, , , , , 
18,02/04/2020 14:58,week 1,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Frequently,Not at all,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Not at all,Always,10, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.912426514,Female,61,North-East,2,2,Not working, , , , , 
19,02/04/2020 14:59,week 1,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,20, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.910582014,Female,59,South-West,2,0,Not working, , , , , 
20,02/04/2020 15:07,week 1,1,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Rarely,Always,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.916316662,Female,61,North-West,2,0,Retired, , , , , 
21,02/04/2020 15:06,week 1,1,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,0.910827566,Female,27,South-East,2,0,Full time employment, , , , , 
22,02/04/2020 15:21,week 1,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Not at all,Always,Frequently,Sometimes,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.910582014,Female,73,South-West,2,0,Retired, , , , , 
23,02/04/2020 15:06,week 1,0,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Frequently,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Frequently,Frequently,20, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.916316662,Female,64,North-West,1,0,Retired, , , , , 
24,02/04/2020 15:20,week 1,1,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Sometimes,Always,Always,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Sometimes,Frequently,Always,7, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.588622697,Male,24,Paris Area,1,0,Full time student, , , , , 
25,02/04/2020 15:18,week 1,1,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Rarely,Always,30,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,0.904696561,Female,29,South-West,2,0,Part time employment, , , , , 
26,02/04/2020 15:19,week 1,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,0.847219011,Female,59,North-East,1,0,Full time employment, , , , , 
27,02/04/2020 15:15,week 1,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Rarely,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Frequently,10, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.022136032,Male,74,North-East,3,3,Retired, , , , , 
28,02/04/2020 15:15,week 1,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Always,Always,Always,Always, ,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Always,6, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.019859292,Male,33,North-West,3,1,Unemployed, , , , , 
29,02/04/2020 15:18,week 1,1,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.012663449,Male,29,Paris Area,2,0,Full time employment, , , , , 
30,02/04/2020 15:20,week 1,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.916316662,Female,67,North-West,1,0,Retired, , , , , 
