RecordNo,endtime,qweek,gender,region,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,age,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex2,WCRV_4,CORE_B2_4,WCRex1,i12_health_21,i12_health_22,i12_health_23,i12_health_24,i12_health_25,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7
1,02/04/2020 15:16,week 1,Male,Kantō,3,20,1, , , ,Yes,Very difficult,Somewhat willing,Always,Always,Not at all,Always,Always,Sometimes,Frequently,Not at all,Rarely,Always,Always,Frequently,Always,Always,Frequently,Sometimes,Not at all,Always,Sometimes,Frequently,10,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.915986104,47,4,2,Full time employment, , , , , , , , , , , , , , , , , , , , , 
2,02/04/2020 15:15,week 1,Male,Kantō,1,20,1, , , ,Yes,Somewhat difficult,Very willing,Sometimes,Always,Frequently,Always,Always,Sometimes,Always,Rarely,Sometimes, ,Sometimes,Always,Always,Always,Frequently,Sometimes,Always,Rarely,Rarely,Sometimes,8,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.948322856,43,2,0,Full time employment, , , , , , , , , , , , , , , , , , , , , 
3,02/04/2020 15:17,week 1,Male,Kantō,1,0,0, , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,5, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.915986104,50,2,0,Unemployed, , , , , , , , , , , , , , , , , , , , , 
4,02/04/2020 15:29,week 1,Male,Kyūshū,3,5,1, , , ,Yes,Somewhat difficult,Very willing,Always,Always,Frequently,Always,Always,Sometimes,Rarely,Rarely,Rarely,Frequently,Rarely,Rarely,Frequently,Always,Sometimes,Frequently,Not at all,Rarely,Sometimes,Sometimes,4,No,No,No,No,No,No,No,No,No,No,Yes,No,No,行政,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.032046398,56,4,2,Full time employment, , , , , , , , , , , , , , , , , , , , , 
5,02/04/2020 15:41,week 1,Female,Chūbu,2,5,1, , , ,Yes,Very difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Sometimes,Sometimes,Always,Always,Always,Sometimes,Not at all,Not at all,Always,Always,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.010100883,38,3,0,Full time employment, , , , , , , , , , , , , , , , , , , , , 
6,02/04/2020 15:31,week 1,Male,Tōhoku,2,15,1, , , ,Yes,Neither easy nor difficult,Very willing,Sometimes,Always,Not at all,Rarely,Rarely,Sometimes,Rarely,Frequently,Rarely,Always,Not at all,Not at all,Frequently,Frequently,Always,Sometimes,Not at all,Not at all,Sometimes,Rarely,6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.948322856,44,5,1,Full time employment, , , , , , , , , , , , , , , , , , , , , 
7,02/04/2020 15:41,week 1,Female,Kantō,4,5,1, , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Sometimes,Not at all,Always,Rarely,Always,Rarely,Rarely, , ,Rarely,Not at all,Frequently,Sometimes,Frequently,Sometimes,Not at all,Rarely,Not at all,Sometimes,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.950870368,18,4,0,Full time student, , , , , , , , , , , , , , , , , , , , , 
8,02/04/2020 15:44,week 1,Female,Kyūshū,1,0,1, , , ,Yes,Very difficult,Very willing,Always,Frequently,Frequently,Always,Always,Sometimes,Rarely,Always,Sometimes, ,Always,Frequently,Always,Always,Always,Frequently,Not at all,Not at all,Rarely,Sometimes,6,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.099278554,58,2,0,Full time employment, , , , , , , , , , , , , , , , , , , , , 
9,02/04/2020 15:41,week 1,Male,Chūgoku,5,4,5, , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Rarely,Sometimes,Always,Rarely,Sometimes,Frequently, , ,Sometimes,Sometimes,Sometimes,Rarely,Always,Sometimes,Always,Rarely,Sometimes,Not at all,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.032046398,66,2,0,Retired, , , , , , , , , , , , , , , , , , , , , 
10,02/04/2020 15:50,week 1,Female,Kansai,2,8,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Not at all,Always,Always,Rarely,Not at all,Always,Not at all, ,Always,Always,Always,Always,Always,Rarely,Always,Always,Rarely,Always,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,銀行,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.010100883,43,3,0,Full time employment, , , , , , , , , , , , , , , , , , , , , 
11,02/04/2020 15:56,week 1,Female,Hokkaidō,1,0,1,Yes,Always,No,Yes,Somewhat easy,Very willing,Always,Always,Rarely,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Always,35,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",Yes,Yes,No,No,No,No,Yes,1.099278554,70,2,0,Part time employment, , , , , , , , , , , , , , , , , , , , , 
12,02/04/2020 15:59,week 1,Female,Kansai,1,1,0, , , ,Yes,Very difficult,Very willing,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Frequently, , ,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Sometimes,Frequently,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.099278554,90,2,0,Unemployed, , , , , , , , , , , , , , , , , , , , , 
13,02/04/2020 16:00,week 1,Male,Kantō,10,6,4, , , ,Yes,Somewhat difficult,Very willing,Always,Always,Frequently,Always,Rarely,Sometimes,Rarely,Rarely,Sometimes, ,Not at all,Rarely,Rarely,Rarely,Sometimes,Rarely,Always,Rarely,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.948322856,39,4,0,Full time employment, , , , , , , , , , , , , , , , , , , , , 
