RecordNo,endtime,qweek,gender,age,region,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight
0,2020-04-09 10:45:45,week 1,Female,37,Vestlandet,3,0,Yes,No,No,No,No,No,No,0,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Rarely,Not at all,Always,Not at all, ,Not at all,Frequently,Frequently,Always,Frequently,Sometimes,Always,Rarely,Frequently,Frequently,15,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.944899708198
1,2020-04-09 10:46:28,week 1,Male,31,Vestlandet,2,0,No,Yes,No,No,No,No,No,1,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.971565964529
2,2020-04-09 10:47:41,week 1,Male,64,Oslo/Akershus,2,0,No,No,No,Yes,No,No,No,1,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Sometimes,Frequently,Always, , ,Always,Always,Always,Always,Frequently,Sometimes,Not at all,Rarely,Frequently,Frequently,15, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,.983900012451
3,2020-04-09 10:49:21,week 1,Male,41,Sørlandet,4,2,Yes,No,No,No,No,No,No,3,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Not at all,Frequently,Always,Always,Not at all,Not at all,Always,Frequently,Always,Always,Frequently,Not at all,Not at all,Not at all,Frequently,Sometimes,8,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Forsvaret,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.994469172076
4,2020-04-09 10:50:07,week 1,Male,47,Sørlandet,2,0,Yes,No,No,No,No,No,No,1,3,2,"No, I have not","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Rarely,Always,Always,Always,Always,Frequently,Always,Frequently,Always, ,Always,Always,Always,Always,Frequently,Frequently,Rarely,Always,Always,Always,14,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.994469172076
5,2020-04-09 10:50:27,week 1,Male,48,Sørlandet,3,1,No,No,No,No,No,Yes,No,3,15,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Neither willing nor unwilling,Not at all,Frequently,Rarely,Always,Not at all,Not at all,Not at all,Always, ,Rarely,Rarely,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Not at all,Not at all,Not at all,Frequently,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.994469172076
6,2020-04-09 10:50:34,week 1,Male,55,Sørlandet,1,0,Yes,No,No,No,No,No,No,0,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Frequently,Frequently,Frequently,Always,Frequently,Not at all,Always,Not at all, ,Always,Frequently,Frequently,Always,Frequently,Not at all,Not at all,Always,Frequently,Sometimes,10,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.987470129347
7,2020-04-09 10:54:20,week 1,Female,63,Trøndelag/Nord-Norge,2,0,No,No,No,Yes,No,No,No,0,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Not at all,Always,Frequently, , ,Rarely,Always,Always,Always,Always,Always,Always,Always,Always,Always,15, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,1.22984751081
8,2020-04-09 10:56:18,week 1,Male,63,Rest Østland,2,0,No,Yes,No,No,No,No,No,1,10,0,"No, I have not","No, they have not",No,No,Yes,Yes,No,No,Not sure,Always,No,No,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always,Always, ,Frequently,Frequently,Frequently,Always,Always,Frequently,Not at all,Not at all,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.983900012451
9,2020-04-09 10:59:34,week 1,Male,50,Rest Østland,2,0,No,No,No,No,No,Yes,No,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,25, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,.940057057321
