RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
0,09/04/2020 11:32,week 1,2,0,0, , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Rarely,Always,Frequently,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Frequently,4,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.196934133,Male,32,Central Region,3,1,Full time employment, , , , , 
1,09/04/2020 11:38,week 1,2,2,0, , , ,Yes,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always, ,Always,Frequently,Frequently,Frequently,Always,Sometimes,Always,Always,Always,Always,4,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.900951378,Female,33,Northeastern Region,5,0,Full time employment, , , , , 
2,09/04/2020 11:41,week 1,2,2,0, , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Sometimes, ,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, ,0.95042946,Male,26,Northeastern Region,2,1,Unemployed, , , , , 
3,09/04/2020 11:45,week 1,10,2,1, , , ,No,Somewhat difficult,Somewhat willing,Always,Rarely,Always,Always,Sometimes,Sometimes,Frequently,Frequently,Always, ,Always,Always,Frequently,Always,Frequently,Rarely,Always,Always,Sometimes,Frequently,2,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,__NA__,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.035191405,Male,23,Southern Region,4,0,Part time employment, , , , , 
4,09/04/2020 11:53,week 1,1,5,3, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Not at all,Always,Always, ,Frequently,Frequently,Rarely,Rarely,Not at all,Sometimes,Not at all,Not at all,Rarely,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.88857351,Female,37,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,2,Other, , , , , 
5,09/04/2020 11:55,week 1,0,0,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Frequently,Always,Always,Always,Always,Always,Always, ,Frequently,Frequently,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,1.017386906,Male,33,Northern Region,4,1,Other, , , , , 
6,09/04/2020 11:55,week 1,2,3,2, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Frequently,10,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested positive",Not sure,No,No,No,No,No,Yes, ,0.878607599,Female,19,Northern Region,5,3,Full time employment, , , , , 
7,09/04/2020 11:57,week 1,0,3,2, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently, ,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960760483,Female,40,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),1,0,Full time employment, , , , , 
8,09/04/2020 12:01,week 1,4,4,0, , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Sometimes,Always, ,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,No,Yes, ,1.05017912,Female,22,Central Region,4,1,Full time student, , , , , 
9,09/04/2020 12:03,week 1,2,3,2, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,0.887463439,Female,18,Northeastern Region,4,2,Full time student, , , , , 
10,09/04/2020 12:04,week 1,0,1,1,No,Always,No,No,Very easy,Very willing,Always,Always,Frequently,Frequently,Always,Always,Always,Always, ,Always,Sometimes,Sometimes,Always,Always,Always,Rarely,Always,Frequently,Frequently,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",Yes,No,No,No,No,No,No,0.879093923,Female,18,Northeastern Region,4,2,Full time student, , , , , 
11,09/04/2020 12:05,week 1,2,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,30,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,0.879093923,Female,20,Northeastern Region,5,1,Full time employment, , , , , 
12,09/04/2020 12:08,week 1,2,2,1, , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Rarely,Rarely,Always,Frequently,Frequently,Frequently,Frequently,Always,Sometimes,Always,Sometimes,Always,Rarely,7,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,No,Yes, ,0.887463439,Female,19,Northeastern Region,5,5 or more,Part time employment, , , , , 
13,09/04/2020 12:08,week 1,2,0,1, , , ,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,10,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.238830809,Female,27,Central Region,3,1,Full time employment, , , , , 
14,09/04/2020 12:12,week 1,2,0,0,No,Always,No,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not",Not sure,No,Yes,No,No,No,No,No,1.294064351,Male,18,Central Region,3,1,Full time student, , , , , 
15,09/04/2020 12:13,week 1,2,0,0, , , ,No,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Not at all,Not at all, , ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.97349131,Male,18,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,0,Full time student, , , , , 
16,09/04/2020 12:15,week 1,1,2,1, , , ,Not sure,Somewhat difficult,Very willing,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes, ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,5,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they tested negative",No,No,No,No,No,Yes, ,1.208672841,Male,32,Central Region,5,0,Full time employment, , , , , 
17,09/04/2020 12:17,week 1,0,0,0,No,Always,No,Yes,Very easy,Very willing,Always,Frequently,Frequently,Sometimes,Always,Frequently,Always,Always, ,Always,Always,Frequently,Frequently,Always,Always,Always,Not at all,Not at all,Always,Frequently,12, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.870321601,Female,24,Northern Region,3,1,Unemployed, , , , , 
18,09/04/2020 12:18,week 1,2,10,1, , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Always,Always,Always,Sometimes,Always,Always,Sometimes, ,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Rarely,Sometimes,Sometimes,8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.017975589,Female,27,Northern Region,3,0,Full time employment, , , , , 
19,09/04/2020 12:18,week 1,1,5,2,No,Always,No,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,1.094740894,Male,27,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),2,1,Full time employment, , , , , 
20,09/04/2020 12:18,week 1,2,2,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Always,8,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,1.013523137,Male,44,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,1,Part time employment, , , , , 
21,09/04/2020 12:19,week 1,2,0,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Sometimes,Always,Always,Always,Sometimes,Always,Always,Rarely,Frequently,5, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.914473883,Male,20,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),3,0,Full time student, , , , , 
22,09/04/2020 12:19,week 1,2,0,0, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.965506944,Male,40,Northeastern Region,3,1,Part time employment, , , , , 
23,09/04/2020 12:19,week 1,2,5,2,No,Rarely,Not sure,No,Somewhat easy,Very willing,Rarely,Always,Always,Always,Sometimes,Frequently,Rarely,Always,Not at all,Always,Frequently,Rarely,Rarely,Rarely,Frequently,Frequently,Always,Frequently,Frequently,Frequently,100,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Part time,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,Yes,No,No,No,No,No,0.922812659,Female,19,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),3,1,Part time employment, , , , , 
