RecordNo,endtime,region,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
0,09/04/2020 13:33,Southeast,week 1,6,7,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,Sometimes,Always,Always,Frequently,Always,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.993325009,Female,20,6,1,No,Yes,No,No,No,No,No, , , , , 
1,09/04/2020 13:38,Southeast,week 1,2,2,1, , , ,No,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Sometimes,Rarely,Always, ,Always,Frequently,Always,Always,Always,Always,Frequently,Frequently,Sometimes,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004869776,Female,34,4,2,No,No,No,No,Yes,No,No, , , , , 
2,09/04/2020 13:38,Southeast,week 1,3,5,1, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always, ,Always,Always,Always,Always,Always,Sometimes,Always,Not at all,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.172911848,Male,63,4,0,No,Yes,No,No,No,No,No, , , , , 
3,09/04/2020 13:40,Red River Delta,week 1,5,2,0, , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Always, ,Always,Frequently,Rarely,Frequently,Always,Frequently,Sometimes,Frequently,Rarely,Frequently,Frequently,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.97261299,Male,20,2,2,No,No,No,No,No,Yes,No, , , , , 
4,09/04/2020 13:47,Southeast,week 1,4,20,2, , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Frequently,Sometimes,Always,Always,Sometimes,Frequently,Always,Not at all,Always,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Not at all,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.983322386,Male,47,5,2,Yes,No,No,No,No,No,No, , , , , 
5,09/04/2020 13:48,Northern Midlands and Mountains,week 1,3,3,3, , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Frequently,Always,Not at all,Always,Sometimes,Rarely,Sometimes, ,Sometimes,Frequently,Always,Always,Always,Sometimes,Frequently,Always,Sometimes,Always,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.97261299,Male,20,4,0,No,Yes,No,No,No,Yes,No, , , , , 
6,09/04/2020 13:50,Southeast,week 1,3,4,2, , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Frequently,Always,Sometimes,Always,Not at all,Not at all,Always,Not at all,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Not at all,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.988315988,Male,37,4,2,Yes,No,No,No,No,No,No, , , , , 
7,09/04/2020 13:51,Southeast,week 1,4,5,9,Yes,Frequently,No,Yes,Somewhat difficult,Neither willing nor unwilling,Frequently,Always,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Always,Frequently,Always,Frequently,Sometimes,Frequently,Always,Frequently,Always,Frequently,Always,7,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,__NA__,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,"Yes, and I have not received my results from the test yet","Yes, and they tested negative",No,No,Yes,No,No,No,Yes,0.988315988,Male,37,5,4,Yes,No,No,No,No,No,No, , , , , 
8,09/04/2020 13:53,Mekong River Delta,week 1,0,5,2, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Rarely,Always,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.97261299,Male,23,1,1,Yes,No,No,No,No,No,No, , , , , 
9,09/04/2020 14:00,Southeast,week 1,5,2,0, , , ,No,Very easy,Very willing,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Always,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.172911848,Male,55,6,2,No,Yes,No,No,No,No,No, , , , , 
